question,document
I just found this course late — can I still sign up and take part?,74eb249bbf
"Am I allowed to join now if I missed the start, or is it too late?",74eb249bbf
"If I start the course after it already began, can I still get a certificate somehow?",74eb249bbf
"Do late joiners still count, or do I need to be there from the beginning?",74eb249bbf
What’s the deadline for getting a certificate if I only discovered the course recently?,74eb249bbf
I signed up for the LLM Zoomcamp — when should I get the confirmation email?,977bf7786c
Do I need to wait for a registration confirmation before I can start the course?,977bf7786c
Is registration required to begin watching lessons and submitting homework?,977bf7786c
Will my homework be checked against a list of registered students?,977bf7786c
What’s the point of registering if I can already start learning without it?,977bf7786c
How do I join the office hours or live workshop if I’m a student—do I need the Zoom link?,489dd1c9d9
Where do they usually post the stream link before an office hours session starts?,489dd1c9d9
"If students can’t use Zoom for the live sessions, what’s the normal way to watch and ask questions?",489dd1c9d9
"Can I just ask my question in the live chat during office hours, or is there a better place to send it?",489dd1c9d9
"Is the YouTube stream for workshops available somewhere official, like the course Telegram, Slack, or DataTalksClub channel?",489dd1c9d9
"Where do I begin if I want to follow the course properly, and what should I check first?",04919992b3
What’s the usual week-by-week routine for this course after watching the videos?,04919992b3
"Do I need to start on a fixed date, or can I join whenever I want?",04919992b3
"After the lesson materials, how do I handle homework and where do I submit it?",04919992b3
"Is the homework basically the same as the lesson exercises, or does it change a bit?",04919992b3
I can’t find myself on the leaderboard — how do I locate my row?,c2903069a0
"Why does the leaderboard show a random name for me, and can I change it?",c2903069a0
Where can I check what my display name is in the course profile?,c2903069a0
"If I want a different nickname instead of the default one, which profile field should I edit?",c2903069a0
"What name will appear on my certificate, and do I need to set it somewhere special?",c2903069a0
"Can I do this course on my own schedule and still get a certificate, or is it only for the live cohort?",69d122f12e
"If I take the self-paced version, will I still be able to earn the course certificate at the end?",69d122f12e
Why doesn’t the course give certificates to people who study it in self-paced mode?,69d122f12e
Do I need to participate in the live run to be able to peer-review projects and qualify for certification?,69d122f12e
Is it possible to get credit for peer-reviewing capstone projects after the course submissions are already closed?,69d122f12e
"If I missed the first homework, can I still get the certificate?",9f689c185f
